customer_id,children,married,gender,churn,contract,internet_service,phone,multiple_phone,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,source
T75528,No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,57.0,160.0,WGU
Z949431,No,No,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,59.0,194.97,WGU
A972815,Yes,Yes,Female,No,Two year,None,Yes,No,No,No,Yes,No,No,No,Yes,Mailed Check,62.0,92.5,WGU
O979346,Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Electronic Check,71.0,177.49,WGU
C385943,Yes,No,Male,No,Two year,None,Yes,No,No,Yes,No,No,Yes,No,No,Electronic Check,65.0,127.46,WGU
N452057,No,No,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,Yes,Automatic,56.0,112.48,WGU
I969152,No,No,Female,No,One year,None,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Automatic,54.0,162.51,WGU
R339976,Yes,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Electronic Check,60.0,174.98,WGU
R918917,Yes,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Electronic Check,62.0,184.96,WGU
U207706,Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,No,No,No,Automatic,57.0,140.0,WGU
A367660,Yes,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Mailed Check,46.0,137.49,WGU
M639861,Yes,No,Male,No,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,Automatic,67.0,152.46,WGU
Z241905,Yes,No,Female,No,Two year,DSL,Yes,No,No,No,No,Yes,No,Yes,Yes,Automatic,65.0,139.95,WGU
W128349,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Automatic,58.0,124.96,WGU
R132582,No,No,Female,No,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Automatic,57.0,149.99,WGU
A384618,Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,No,No,No,No,Electronic Check,72.0,129.99,WGU
T814173,Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Mailed Check,60.0,182.48,WGU
H251318,Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Electronic Check,69.0,184.98,WGU
C852951,Yes,No,Female,No,One year,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Mailed Check,61.0,147.46,WGU
F666864,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,No,Automatic,65.0,172.46,WGU
S189197,No,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,68.0,252.64,WGU
Q275471,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,48.0,169.94,WGU
L339318,Yes,No,Female,No,One year,None,Yes,No,No,No,No,Yes,Yes,No,No,Mailed Check,71.0,117.47,WGU
N572936,No,Yes,Male,No,Month-to-month,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Electronic Check,65.0,187.64,WGU
M244914,No,No,Female,No,Month-to-month,None,Yes,Yes,No,No,No,No,No,Yes,No,Electronic Check,49.0,147.47,WGU
Q482787,Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Automatic,64.0,149.94,WGU
J139961,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Electronic Check,72.0,174.99,WGU
B169359,Yes,Yes,Male,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,No,No,Electronic Check,67.0,129.95,WGU
M404332,Yes,No,Female,No,One year,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Automatic,62.0,222.64,WGU
H339217,Yes,No,Male,Yes,Month-to-month,DSL,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Mailed Check,48.0,245.13,WGU
S472625,Yes,Yes,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,42.0,140.0,WGU
S352716,Yes,No,Female,No,Two year,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,51.0,127.49,WGU
K833093,Yes,No,Male,No,One year,DSL,Yes,No,No,No,No,Yes,No,Yes,Yes,Mailed Check,66.0,139.95,WGU
E324070,Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,57.0,220.11,WGU
Q890961,No,Yes,Female,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Automatic,72.0,174.97,WGU
L740934,Yes,No,Female,No,Two year,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,Electronic Check,61.0,127.47,WGU
V310965,No,No,Nonbinary,No,Two year,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,66.0,127.48,WGU
F758869,No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Electronic Check,61.0,187.48,WGU
D970501,Yes,Yes,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Automatic,55.0,172.46,WGU
U997168,Yes,No,Female,No,Month-to-month,None,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Automatic,66.0,159.99,WGU
V423542,Yes,Yes,Male,No,Month-to-month,None,Yes,Yes,Yes,No,No,No,No,No,No,Automatic,69.0,115.0,WGU
A213804,Yes,No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,55.0,149.94,WGU
I251400,No,No,Female,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Electronic Check,67.0,232.62,WGU
H399454,Yes,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Electronic Check,65.0,187.47,WGU
H634047,Yes,No,Female,No,Two year,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Automatic,52.0,129.96,WGU
Z578102,Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Electronic Check,43.0,235.16,WGU
U135613,Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,No,Yes,No,Automatic,46.0,159.95,WGU
H575679,No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Electronic Check,58.0,227.48,WGU
C667596,Yes,No,Female,No,Month-to-month,Fiber Optic,No,Yes,No,Yes,No,No,Yes,No,Yes,Mailed Check,72.0,192.44,WGU
Z129369,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Automatic,71.0,252.62,WGU
O753379,Yes,Yes,Female,No,One year,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Automatic,67.0,162.5,WGU
U429147,Yes,No,Male,No,Two year,None,Yes,Yes,No,No,Yes,No,No,No,Yes,Automatic,58.0,125.01,WGU
L212613,Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,No,Mailed Check,62.0,149.95,WGU
X130775,Yes,No,Male,No,Two year,None,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,68.0,92.5,WGU
L306709,Yes,Yes,Female,No,Month-to-month,None,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Automatic,70.0,139.99,WGU
R310574,Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,Yes,No,Automatic,68.0,129.96,WGU
R850000,No,No,Male,No,One year,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Automatic,55.0,172.44,WGU
F765325,No,No,Male,No,One year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,Automatic,39.0,134.95,WGU
P925816,Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Automatic,57.0,142.47,WGU
O466793,Yes,No,Female,No,One year,None,Yes,No,No,Yes,No,No,Yes,No,Yes,Electronic Check,60.0,127.46,WGU
G795070,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Electronic Check,48.0,169.94,WGU
E890386,Yes,No,Female,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,68.0,275.12,WGU
F869236,Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Electronic Check,62.0,277.65,WGU
Y753053,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,No,Automatic,68.0,179.98,WGU
O230445,Yes,No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,Electronic Check,70.0,147.44,WGU
O122056,Yes,No,Female,No,Month-to-month,DSL,No,Yes,No,No,Yes,Yes,No,No,Yes,Automatic,38.0,149.99,WGU
A525629,No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Mailed Check,60.0,169.94,WGU
X446895,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Mailed Check,57.0,159.95,WGU
H66365,Yes,No,Female,No,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,Yes,No,No,Electronic Check,58.0,142.45,WGU
Z659653,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Electronic Check,43.0,214.95,WGU
J450763,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Electronic Check,65.0,147.46,WGU
M258307,Yes,No,Female,No,One year,None,No,Yes,No,No,No,Yes,Yes,No,Yes,Electronic Check,63.0,149.98,WGU
L27213,Yes,No,Male,No,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Electronic Check,66.0,149.99,WGU
W410295,Yes,No,Male,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Automatic,71.0,114.95,WGU
W193877,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,No,Automatic,71.0,202.44,WGU
Y990932,No,No,Female,No,One year,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Automatic,52.0,232.64,WGU
U391523,Yes,No,Female,No,Two year,None,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,67.0,117.49,WGU
U367869,No,No,Female,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,Yes,Yes,Automatic,71.0,127.48,WGU
D831335,No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Mailed Check,71.0,265.13,WGU
J168263,No,No,Female,No,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Automatic,62.0,247.66,WGU
X196120,Yes,No,Male,No,Month-to-month,None,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Mailed Check,67.0,152.5,WGU
N958016,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Automatic,63.0,124.98,WGU
Q825819,Yes,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Automatic,70.0,197.48,WGU
D458687,Yes,No,Male,No,Month-to-month,None,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Mailed Check,63.0,150.02,WGU
T65197,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Automatic,56.0,255.14,WGU
L937805,Yes,No,Female,No,Month-to-month,None,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,56.0,210.16,WGU
S281186,No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,66.0,240.11,WGU
T718168,Yes,No,Male,No,Month-to-month,DSL,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Automatic,60.0,172.47,WGU
G799648,No,No,Male,No,Two year,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Automatic,66.0,149.97,WGU
G745212,Yes,No,Female,No,Month-to-month,None,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,48.0,159.99,WGU
G121569,No,No,Male,No,One year,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Automatic,55.0,257.68,WGU
H974723,Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Automatic,63.0,172.44,WGU
U432834,No,No,Male,No,Two year,DSL,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,55.0,132.47,WGU
K700875,Yes,Yes,Female,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,55.0,159.98,WGU
V306665,Yes,No,Male,No,Month-to-month,None,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Automatic,47.0,149.99,WGU
G44432,No,No,Male,No,Two year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Mailed Check,65.0,187.48,WGU
I907492,Yes,No,Nonbinary,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Automatic,72.0,127.49,WGU
R361159,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Automatic,69.0,137.49,WGU
F520698,No,No,Female,No,One year,Fiber Optic,No,Yes,No,Yes,No,No,No,No,Yes,Electronic Check,55.0,167.46,WGU
J511617,Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Automatic,51.0,202.44,WGU
B133945,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,No,Automatic,61.0,157.47,WGU
J949772,No,No,Male,No,Two year,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Automatic,58.0,117.47,WGU
S951933,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Automatic,53.0,182.47,WGU
V136458,Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Automatic,70.0,139.93,WGU
N140958,No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,No,Electronic Check,50.0,172.46,WGU
J154409,Yes,Yes,Female,No,Month-to-month,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Yes,Electronic Check,59.0,127.5,WGU
Q122695,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Automatic,53.0,182.5,WGU
W837004,Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,Yes,Electronic Check,54.0,79.98,WGU
D721433,Yes,Yes,Male,No,One year,DSL,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Mailed Check,66.0,142.47,WGU
D604034,Yes,No,Female,No,Month-to-month,DSL,No,No,No,Yes,No,No,Yes,No,Yes,Automatic,63.0,139.93,WGU
X487182,No,No,Male,No,One year,DSL,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,71.0,132.47,WGU
H840567,No,No,Male,No,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,71.0,104.98,WGU
B593910,Yes,No,Female,No,One year,DSL,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Automatic,43.0,255.13,WGU
V492124,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Automatic,62.0,172.46,WGU
B506027,No,No,Female,No,Month-to-month,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Automatic,51.0,229.99,WGU
Y266994,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Automatic,57.0,159.95,WGU
I510751,Yes,No,Male,No,Two year,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Electronic Check,65.0,162.47,WGU
B369234,Yes,Yes,Male,No,Two year,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,No,Mailed Check,60.0,137.49,WGU
Q252222,Yes,No,Male,No,One year,DSL,No,Yes,No,No,No,No,No,Yes,No,Automatic,64.0,159.95,WGU
F44875,Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Automatic,60.0,172.46,WGU
Y543283,Yes,No,Female,No,One year,DSL,Yes,Yes,Yes,No,No,No,No,Yes,No,Mailed Check,70.0,162.47,WGU
G248257,Yes,No,Female,No,One year,None,Yes,Yes,No,No,No,No,No,No,Yes,Automatic,64.0,112.48,WGU
W355571,No,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Mailed Check,71.0,187.48,WGU
X989153,Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,68.0,255.12,WGU
N767421,Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Automatic,53.0,235.14,WGU
I646532,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,70.0,184.98,WGU
F303016,Yes,No,Male,No,Two year,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Automatic,44.0,152.49,WGU
S437736,No,No,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Mailed Check,64.0,149.94,WGU
A170090,Yes,No,Female,No,Two year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Automatic,64.0,139.98,WGU
H685776,Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,No,No,Electronic Check,62.0,129.95,WGU
P420352,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,Yes,Automatic,60.0,147.47,WGU
X293202,Yes,No,Female,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Automatic,67.0,144.99,WGU
P387565,Yes,Yes,Female,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,No,Electronic Check,61.0,137.47,WGU
B609039,Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,47.0,129.95,WGU
Y874309,No,No,Male,No,One year,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,62.0,114.95,WGU
A448006,Yes,No,Female,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,Yes,No,No,Electronic Check,63.0,132.48,WGU
C250962,No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Automatic,66.0,222.65,WGU
P987255,No,No,Male,No,One year,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,63.0,107.5,WGU
M704449,No,No,Male,No,One year,None,Yes,Yes,No,Yes,No,No,No,No,No,Automatic,57.0,134.98,WGU
Z648344,No,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Automatic,71.0,112.46,WGU
G885667,No,No,Female,No,One year,DSL,No,Yes,No,No,No,No,No,Yes,No,Mailed Check,51.0,159.95,WGU
Y832314,Yes,Yes,Male,No,Two year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Electronic Check,68.0,267.64,WGU
P869138,Yes,No,Male,Yes,Month-to-month,None,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,52.0,175.13,WGU
X419185,Yes,No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Automatic,55.0,114.95,WGU
M85777,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,62.0,149.96,WGU
P780569,No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Mailed Check,65.0,262.61,WGU
Y614522,Yes,Yes,Male,No,One year,None,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Automatic,55.0,225.18,WGU
H134108,No,No,Female,No,Month-to-month,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Mailed Check,70.0,232.64,WGU
D07038,Yes,No,Female,No,One year,DSL,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Automatic,61.0,129.99,WGU
Y246812,Yes,No,Female,No,One year,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Automatic,63.0,139.93,WGU
F153950,No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,No,No,Automatic,59.0,114.97,WGU
F866945,Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Mailed Check,59.0,139.98,WGU
Q474525,No,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,66.0,265.13,WGU
W472413,Yes,Yes,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Mailed Check,63.0,184.95,WGU
W503853,No,Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,No,Automatic,68.0,169.94,WGU
S330548,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Mailed Check,70.0,172.46,WGU
S229939,No,No,Male,Yes,One year,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Electronic Check,56.0,235.14,WGU
T860300,No,No,Male,No,Two year,None,Yes,No,No,No,No,No,No,Yes,Yes,Automatic,58.0,114.97,WGU
A504244,Yes,No,Male,No,One year,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,61.0,247.66,WGU
Z247975,Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,70.0,127.49,WGU
O647062,No,No,Male,No,Month-to-month,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Automatic,67.0,127.44,WGU
D821426,Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Mailed Check,70.0,137.44,WGU
H998951,Yes,No,Female,No,Two year,None,Yes,No,No,Yes,No,No,No,No,No,Automatic,62.0,102.47,WGU
S677114,No,No,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Electronic Check,60.0,182.46,WGU
I647064,Yes,No,Female,No,Month-to-month,None,No,No,Yes,No,No,Yes,Yes,No,Yes,Mailed Check,44.0,119.99,WGU
U707324,No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,No,Automatic,64.0,107.5,WGU
C501850,Yes,No,Female,No,Month-to-month,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,Yes,Automatic,62.0,179.98,WGU
C941787,No,Yes,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic Check,70.0,192.44,WGU
A878705,Yes,No,Female,No,Month-to-month,None,Yes,No,Yes,Yes,No,No,No,No,No,Automatic,61.0,104.99,WGU
F232302,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,No,Electronic Check,68.0,112.46,WGU
B908324,No,No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Automatic,70.0,207.61,WGU
I749108,No,No,Male,No,One year,None,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Automatic,68.0,162.53,WGU
F781849,Yes,No,Male,No,Month-to-month,DSL,No,Yes,No,No,Yes,No,No,No,Yes,Electronic Check,50.0,137.48,WGU
U880816,Yes,No,Male,No,One year,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Automatic,48.0,175.13,WGU
D379784,Yes,Yes,Male,No,Month-to-month,None,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Automatic,69.0,127.51,WGU
N222901,Yes,No,Nonbinary,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Electronic Check,48.0,119.96,WGU
C355455,Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Automatic,66.0,147.44,WGU
L221272,Yes,No,Male,No,One year,Fiber Optic,No,No,No,No,No,No,No,No,Yes,Mailed Check,60.0,112.46,WGU
Z110883,No,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,Yes,No,No,Electronic Check,59.0,104.96,WGU
W215581,Yes,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Mailed Check,62.0,174.98,WGU
F639139,Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Automatic,67.0,192.49,WGU
Y274817,Yes,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,Automatic,70.0,149.96,WGU
B599924,Yes,No,Nonbinary,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Mailed Check,59.0,204.95,WGU
Q156955,No,No,Female,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,Mailed Check,68.0,149.96,WGU
Z93707,No,No,Female,No,Two year,DSL,Yes,No,No,No,No,Yes,No,No,No,Mailed Check,51.0,104.96,WGU
J830447,Yes,Yes,Female,No,Two year,DSL,Yes,Yes,No,No,No,Yes,Yes,No,No,Mailed Check,60.0,162.45,WGU
E101547,Yes,No,Nonbinary,No,Two year,None,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Automatic,70.0,162.53,WGU
G591541,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,No,Electronic Check,60.0,182.45,WGU
R163571,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Mailed Check,45.0,194.98,WGU
O386511,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Automatic,51.0,169.94,WGU
U110716,Yes,No,Male,No,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Automatic,57.0,182.44,WGU
W82909,Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Mailed Check,61.0,164.97,WGU
X467466,Yes,No,Male,No,Month-to-month,None,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,48.0,117.52,WGU
Y336186,Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Mailed Check,54.0,252.62,WGU
H536623,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,58.0,124.96,WGU
G192124,No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Automatic,68.0,252.64,WGU
P809833,Yes,No,Male,No,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,62.0,104.98,WGU
